make,model,year,vin,price,mileage,transmission,engine,color,fuel type,body style,description,image URLs,source link
Chevrolet,Corvette,1962,0000020867S105712,79000,486,4 Speed Manual,V8,Red,,car,"Gateway Classic Cars of Tulsa is proud to represent this classic piece of American automotive history: the 1962 Chevrolet Corvette. This iconic vehicle boasts a striking red exterior that nicely complements its vibrant red interior, offering a seamless blend of style and nostalgia. Under the hood, you'll find the powerful V8 engine, a testament to the era's engineering prowess, paired with a 4-speed manual transmission that promises an engaging and authentic driving experience. Inspection documents state numbers matching. Inside, the Corvette features a classic vinyl interior that exudes vintage charm. The cabin is equipped with seatbelts, reflecting a nod to safety considerations of the time. For entertainment, the car is fitted with an AM radio, providing a touch of retro flair that enhances the overall nostalgic feel of the vehicle. The manual convertible top allows for an open-air driving experience, great for those who appreciate the thrill of the road and the freedom of the open sky. This Corvette is a true embodiment of 1960s American sports car design, offering a unique opportunity to own a piece of automotive history that continues to captivate enthusiasts and collectors alike. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://gccvehiclemedia.s3.amazonaws.com/TUL/608/images/watermarked/mobile480/1962-Chevrolet-Corvette.jpg,https://www.gatewayclassiccars.com/vehicle/tul/608/1962-chevrolet-corvette,
Chevrolet,Chevelle,1970,0000136370F141583,79000,452,6-speed Tremec Manual,6.0 LS V8,Gray,,car,"Gateway Classic Cars of Philadelphia is proud to digitally present the 1970 Chevrolet Chevelle. This particular model stands out with its striking gray exterior, a timeless color choice that complements its bold and muscular design. The Chevelle's aesthetic appeal is further enhanced by sleek aluminum wheels that provide a touch of modernity while maintaining its classic allure. Under the hood lies a formidable 6.0 LS V8 engine, promising an exhilarating driving experience. Paired with a 6-speed Tremec manual transmission, this Chevelle offers a dynamic and engaging ride, allowing enthusiasts to fully enjoy the power and performance that this legendary vehicle is known for. The combination of power steering and power brakes ensures that handling this classic is both smooth and responsive, making it a joy to drive on any road. Inside, the Chevelle features a sophisticated black vinyl interior that exudes a sense of timeless elegance. The cabin is designed for comfort and convenience, with air conditioning to keep you cool on warm days and a tilt steering wheel that allows for a customized driving position. Safety is also a priority, with seatbelts included for added peace of mind. This Chevelle rides on durable radial tires, providing reliability and stability on various surfaces. Overall, the 1970 Chevrolet Chevelle is a remarkable blend of classic style and modern enhancements, making it a standout choice for those who appreciate both heritage and performance in a vehicle. Whether cruising down the highway or parked at a car show, this Chevelle is sure to turn heads and capture the admiration of onlookers. Here's a list of other items that were completed on this car: Baer 13"" Brakes Hooker Stainless Headers 3"" Flow Master Exhaust Holley Terminator X System Roller Rockers Vintage Air and much more. This 1970 Chevrolet Chevelle is listed by our Philadelphia location and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff or email us today. Our Philadelphia Showroom is located at 195 9th Ave Runnemede, NJ 08078. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/PHY/1963/images/watermarked/mobile480/1970-Chevrolet-Chevelle.jpg,https://www.gatewayclassiccars.com/vehicle/phy/1963/1970-chevrolet-chevelle,
Pontiac,GTO,1964,000000000824M7537,78000,9564,Automatic,V8,White,,car,"Gateway Classic Cars of Philadelphia proudly presents this classic 1964 Pontiac GTO, a true icon of American automotive history. This particular model boasts a striking white exterior that beautifully complements its sleek, muscular lines, making it an unmistakable presence on the road. The blue interior adds a touch of sophistication and nostalgia, providing a vibrant contrast to the exterior and offering a true vintage feel. The combination of colors ensures that this GTO stands out as a timeless piece of automotive design. Under the hood, this GTO is powered by a robust V8 engine paired with an automatic transmission, delivering the performance and power that enthusiasts have come to expect from this legendary nameplate. The driving experience is further enhanced by power steering and power brakes, which offer a level of control and ease that make cruising in this classic both enjoyable and comfortable. The inclusion of power windows adds a touch of modern convenience to this vintage ride, making it a pleasure to operate. The interior of this Pontiac GTO is fitted with vinyl seating, which not only offers durability but also maintains the classic aesthetic of the era. The tilt steering wheel provides adjustable comfort, ensuring a pleasant driving experience. Safety features include seatbelts, a crucial addition for peace of mind on the road. Riding on radial tires and adorned with classic hub caps, this GTO maintains its authentic look while offering improved handling and stability. This 1964 Pontiac GTO represents a unique blend of vintage charm and driving enjoyment, making it a great choice for enthusiasts and collectors alike who appreciate the legacy of the Pontiac GTO. Come visit us at: 195 9th Ave. in Runnemede, NJ 08078. We are open Monday to Saturday, 9am to 5pm. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/PHY/1737/images/watermarked/mobile480/1964-Pontiac-GTO.jpg,https://www.gatewayclassiccars.com/vehicle/phy/1737/1964-pontiac-gto,
Chevrolet,Camaro,1969,0000124379L511046,78000,94138,Automatic,V8,Blue,,car,"Gateway Classic Cars St. Louis is thrilled to digitally present this icon of American muscle, the 1969 Chevrolet Camaro, in a striking blue exterior that captures the spirit of its era. This vehicle is a testament to automotive design and performance, featuring a robust Chevy small block engine that promises an exhilarating drive every time you turn the key. The automatic transmission ensures a smooth and effortless driving experience. Step inside to find a sleek black interior complete with vinyl/cloth houndstooth seating that provides both comfort and style. The cabin is designed to enhance your driving pleasure with modern conveniences such as Vintage Air air conditioning and Rallye gauges, ensuring a comfortable ride no matter the season. The inclusion of a CD player and speakers offers an enjoyable listening experience, allowing you to cruise with your favorite tunes at your fingertips. The exterior of this Camaro is accentuated by chrome American Racing wheels that not only enhance its appearance but also contribute to its performance. The vehicle is equipped with power brakes and power steering, making it a joy to drive whether you're navigating city streets or open highways. Safety is also a priority, with seatbelts included for peace of mind. This 1969 Chevrolet Camaro is a remarkable example of classic American engineering, offering a combination of vintage appeal and modern features. With its commanding presence and impressive capabilities, it stands ready to deliver an unforgettable driving experience. This 1969 Camaro is more than just a car; it's a statement of American automotive iconography and a testament to the enduring appeal of classic muscle cars. Whether you're a collector or an enthusiast, this vehicle promises to deliver both thrilling rides and timeless style. If you would like more information on this vehicle please give us call at 618-271-3000 First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/STL/9856/images/watermarked/mobile480/1969-Chevrolet-Camaro.jpg,https://www.gatewayclassiccars.com/vehicle/stl/9856/1969-chevrolet-camaro,
Pontiac,GTO,1968,0000242378K115556,78000,18636,4-speed Manual,400 CI V8,Verdora Green,,car,"Gateway Classic Cars of Chicago is proud to present a classic piece of American automotive history: the 1968 Pontiac GTO, presented in a striking Verdora Green exterior paired with an equally striking green interior that captures the essence of the era. Under the hood lies the heart of this beast-a robust 400 cubic inch V8 engine that delivers the raw power and exhilarating performance that the GTO is renowned for. Paired with a 4-speed manual transmission, this vehicle offers an engaging driving experience that puts you in full control. The cabin is equipped with an AM/FM radio, providing entertainment options to enhance your driving experience. Power steering ensures ease of handling, making every journey smooth and enjoyable, whether you're cruising down the highway or navigating city streets. Safety is also a priority in this classic GTO, with seatbelts included to provide an added layer of security for both driver and passengers. The combination of these features makes this 1968 Pontiac GTO not just a car, but a timeless symbol of automotive excellence, ready to deliver an unforgettable ride to its next owner. This iconic muscle car is a testament to Pontiac's legacy of performance and style, featuring a harmonious blend of power and design that continues to captivate enthusiasts and collectors alike. For more information, contact our Chicago showroom at (708) 444-4488 and be sure to check out our website with 100+ HD pictures and videos at GatewayClassicCars.com First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/CHI/2633/images/watermarked/mobile480/1968-Pontiac-GTO.jpg,https://www.gatewayclassiccars.com/vehicle/chi/2633/1968-pontiac-gto,
Ford,Mustang,1968,0000008F01T175160,77000,99999,Automatic,432 cu.in. V8,Blue,,car,"Gateway Classic Cars of Detroit is proud to present this 1968 Ford Mustang. Get ready for the ride of your life with this Mustang, a true race car enthusiast's dream. This Mustang is no ordinary pony car; it's a potent race-ready machine, built to unleash exhilarating power and performance. Under the hood, it houses a ferocious 432ci small block V8, showcasing high-performance components like ARP, Renegade heads, a 950cmf Dominator carburetor, and a 220 Dart Block. This powerplant is a force to be reckoned with, delivering breathtaking acceleration and a spine-tingling exhaust note. Paired with a 400 Turbo automatic transmission, gear changes are seamless and precise. The modifications don't stop there; this Mustang features a Ford 9-inch rear end with a mini tub, ensuring that all that power is firmly planted on the pavement. Wilwood disc brakes both front and rear guarantee top-tier stopping power, crucial for high-speed endeavors. The ladder bar suspension with a thicker track locator bar enhances stability, while a 25-gallon fuel cell keeps you on the track longer. The roar of the 3.5"" exhaust, ceramic headers, and the precision of the MSD ignition analog 7 AL-3 setup create an auditory and visual spectacle to match the raw power of the engine. Inside, you'll find race seats with JAZ racing seat covers, adding a sporty touch to the interior. The roll cage and swing-away bar not only enhance safety but make getting in and out of this performance beast a breeze. Owning this 1968 Mustang isn't just about having a car; it's about having a thoroughbred race machine, designed for the thrill of competition and the love of speed. Whether you're tearing up the track or simply admiring its beauty, this Mustang is an automotive work of art that demands respect and promises an adrenaline-pumping experience like no other First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/DET/2211/images/watermarked/mobile480/1968-Ford-Mustang.jpg,https://www.gatewayclassiccars.com/vehicle/det/2211/1968-ford-mustang,
Chevrolet,150,1957,0000000A57N119532,77000,33507,700R4 Automatic,Ramjet 350 V8,Black/ Silver,,car,"Gateway Classic Cars is proud to digitally present this Pristine 1957 Chevrolet 150 Post. Step into the world of classic automotive elegance with this stunning 1957 Chevrolet 150, a timeless masterpiece that seamlessly blends vintage charm with modern performance enhancements. The striking black and silver exterior exudes an aura of sophistication and style, complemented by the luxurious gray leather interior. This classic beauty is powered by a robust Ramjet 350 V8 engine, paired with a smooth 700R4 automatic transmission, ensuring a driving experience that is both powerful and effortless. Inside, you'll find a range of features designed to enhance your comfort and convenience. The air conditioning system ensures a pleasant cabin environment, while the AM/FM radio and cassette tape player provide entertainment options for every journey. The leather interior adds a touch of luxury, and the tilt steering wheel allows for personalized driving comfort. Safety is prioritized with seatbelts and power brakes, while power steering ensures easy maneuverability. This Chevrolet 150 is equipped with a Ford 9-inch rear end and fuel injection, offering improved performance and reliability. The all-disc brakes provide enhanced stopping power, and the upgraded suspension with leaf springs and coil-over shocks ensures a smooth and controlled ride. The custom Boy Cottington wheels, paired with new radial tires, not only enhance the vehicle's aesthetic appeal but also contribute to its exceptional handling. The all-digital dash provides a modern touch, offering clear and precise information at a glance. Whether you're a classic car enthusiast or simply appreciate the blend of vintage style and modern upgrades, this 1957 Chevrolet 150 is a remarkable choice. Its combination of classic design, modern features, and performance enhancements make it a standout vehicle that is sure to turn heads wherever you go. Title is clean and clear and ready to be transferred into your name now. Don't miss out on the opportunity to own this incredible 1957 Chevrolet 150 Post with its impressive list of features and timeless design. Experience a great blend of classic style and modern convenience with this exceptional vehicle. This Chevrolet 150 is offered by our Louisville Showroom and can be seen in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information please call our knowledgeable staff at (812) 294-1555. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/LOU/3161/images/watermarked/mobile480/1957-Chevrolet-150.jpg,https://www.gatewayclassiccars.com/vehicle/lou/3161/1957-chevrolet-150,
Chevrolet,Chevelle,1969,0000136379A317100,76000,3,3 Speed Automatic,498 Big Block Chevrolet,Candy Brandy Wine Multi,,car,"Gateway Classic Cars Fort Lauderdale is proud to present this 1969 Chevrolet Chevelle Pro-Street Car! Take a look at this baby. The custom paint was sprayed by JJJ Enterprises in Fort Lauderdale. House of Colors Candy Brandy Wine with Candy Burple & Candy Violet graphics were applied. It's pretty obvious this thing means business with the massive rear tires, lowered stance, and SOUND. The 8 cylinder symphony is courtesy of a 498 Big Block Chevrolet, all 818 horsepower and 740 ft. lbs. of torque worth. It features a Cola forged crank, JE 14.5-1 pistons, and Eagle forged steel rods. Valve action comes by way of a Competition Cams roller version, along with roller rockers, double springs and titanium retainers on Manley values. A Kinsler fuel injection system feeds the hungry 8 cylinders with methanol. Custom tubes and air cleaner by the owner. The frame is a full round tubular double funny car cage designed and built by the owner. Tubular a-arms, coil over shocks, 4-link setup, Wilwood disk brakes, and a 9"" Ford with 4:88's gets all that power to the pavement. A 37-gallon stainless tank readies the fuel for delivery. And check this out- it has a a built in 3-point jack system! Heck, there is even a 3rd brake light just for fun. The interior is really nice, courtesy of Creative Trim in Pompano Beach FL. Te all gray leather with suede accents it much nicer than your typical pro-street interior, and the custom dash wih auto-meter gauges looks killer. There is just too much to list. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://d1pp9tosfna24e.cloudfront.net/carpics/FTL/1321/mobile480/1969-Chevrolet-Chevelle.jpg,https://www.gatewayclassiccars.com/vehicle/ftl/1321/1969-chevrolet-chevelle,
Ford,Thunderbird,1957,0000000D7FH115422,76000,541,C10 Automatic,V8,Purple,,car,"Gateway Classic Cars of St. Louis is proud to digitally present this mean street maching: the 1957 Ford Thunderbird Convertible. This stunning vehicle is a testament to the timeless design and engineering prowess of the late 1950s. Dressed in a striking purple exterior, this Thunderbird is sure to turn heads wherever it goes, offering a unique blend of style and nostalgia that is hard to find in today's automotive landscape. Bursting through the hood, this Thunderbird is powered by a robust Boss 302 V8 engine, delivering the performance and power that enthusiasts have come to expect from this iconic model. Paired with a C10 Race automatic transmission with 3000 Stall Converter, the driving experience is loud and aggressive, allowing you to focus on the joy of the open road. The combination of power and ease of handling makes this vehicle a pleasure to drive, whether you're cruising through city streets or heading out on a scenic highway. This former Dragster runs on 110 Racing Fuel but don't worry, it was converted back to being a head turning street cruiser. Enhancing the driving experience are features such as power brakes and power steering, which provide added control and ease of use. These features contribute to a more relaxed and enjoyable drive, allowing you to navigate with confidence and precision. The 1957 Ford Thunderbird Convertible is not just a car; it's a piece of automotive history that offers an engaging and memorable driving experience. This 1957 Ford Thunderbird can be seen in detail including 100+ HD Pictures and an HD video at gatewayclassiccars.com. For additional information please call our knowledgeable staff at 618.271.3000. The St Louis showroom is located at 1237 Central Park Drive, O'Fallon Illinois 62269. Don't miss your chance to own a piece of American automotive history. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/STL/9754/images/watermarked/mobile480/1957-Ford-Thunderbird.jpg,https://www.gatewayclassiccars.com/vehicle/stl/9754/1957-ford-thunderbird,
Chevrolet,Corvette,1971,0000194371S100620,76000,70791,M20 4-Speed Manual,LT-1 350 CID V8,Ontario Orange,,car,"Gateway Classic Cars of Kansas City is proud to present a classic piece of American automotive history: the 1971 Chevrolet Corvette LT1. This iconic sports car is presented in a striking Ontario Orange exterior, a color that captures the essence of the era and turns heads wherever it goes. The bold exterior is complemented by a sleek black vinyl interior, creating a timeless and sophisticated look that is sure to impress both enthusiasts and casual admirers alike. Under the hood, this Corvette boasts the legendary LT-1 350 CID V8 engine, renowned for its performance and power. Paired with the M20 4-Speed manual transmission, this vehicle offers an engaging and exhilarating driving experience that true car aficionados will appreciate. The combination of engine and transmission ensures that this Corvette delivers the performance expected from a classic American muscle car. This 1971 Corvette LT1 is equipped with a range of features designed to enhance the driving experience. The AM/FM radio provides entertainment for those long drives, while power brakes and power steering offer added convenience and control. The vehicle rides on durable radial tires, supported by stylish rally wheels that add to its classic appeal. Safety is also a priority, with seatbelts included for both driver and passenger. Adding to the allure of this Corvette are the T-tops, which allow for an open-air driving experience for enjoying sunny days on the road. The combination of these features makes this Corvette not just a car, but a statement of style and performance. Whether you're a collector or simply someone who appreciates the beauty of classic cars, this 1971 Chevrolet Corvette LT1 is a remarkable example of automotive excellence from a bygone era. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/KCM/1233/images/watermarked/mobile480/1971-Chevrolet-Corvette.jpg,https://www.gatewayclassiccars.com/vehicle/kcm/1233/1971-chevrolet-corvette,
Chevrolet,Camaro,1968,0000123378N389795,76000,700,T56 6 Speed Manual,468 V8,White/Black,,car,"Gateway Classic Cars of Orlando is proud to digitally present this stunning 1968 Chevrolet Camaro, a true icon of American muscle car history. This classic beauty boasts a striking white and black exterior that complements its sleek and aggressive design. Under the hood lies a powerful 468 V8 engine, paired with a T56 6-speed manual transmission, offering an exhilarating driving experience that enthusiasts will truly appreciate. According to the owner the block is a 454 2 bolt main bored at +.060 with 7060P Speed Pro domed pisons, Bodix Race Rite heads, 4.25 forged rotating assembly, comp cams, Magnum pushrods for retro fit roller lifters, aluminum front cover, Corvette oil pan, Melling M77 oil pump, Power Bond harmonic balancer, Edelbrock air gap intake and more. Step inside to discover a refined black vinyl interior that exudes both style and comfort. The cabin is equipped with modern conveniences such as air conditioning, ensuring a pleasant ride no matter the weather. Enjoy your favorite tunes with the AM/FM radio, and experience the ease of power windows and power steering, making every drive a pleasure. The tilt steering wheel adds an extra layer of comfort, allowing for a personalized driving position. This Camaro sits on custom wheels wrapped in radial tires, enhancing both its performance and visual appeal. Safety is a priority with features like Wilwood slotted/drilled power brakes and seatbelts, providing peace of mind on every journey. Whether you're cruising down the highway or showcasing it at a car show, this 1968 Chevrolet Camaro is sure to turn heads and leave a lasting impression. For more information on this remarkable vehicle, call Gateway Classic Cars of Orlando at (407)771-2000. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/ORD/2810/images/watermarked/mobile480/1968-Chevrolet-Camaro.jpg,https://www.gatewayclassiccars.com/vehicle/ord/2810/1968-chevrolet-camaro,
Superformance,Cobra,1965,0000000000SP01254,76000,19650,Tremec 5 Speed Manual,351W-418 CID Stroker V8,Blue and white,,car,"Gateway Classic Cars of Dallas presents your chance to step back in time and experience the thrill of the 1965 Superformance Cobra MKIII Roadster, a masterful tribute to one of the most iconic cars in automotive history. This particular model boasts a striking blue and white exterior that captures the essence of its racing pedigree, while the black leather interior adds a touch of luxury to its raw performance appeal. Under the hood, the Cobra is powered by a formidable 351W-418 CID Stroker V8 engine, paired with a Tremec 5 Speed manual transmission, Wide 17"" Wheels with Nitto Tires and Fully Indepentant suspension Front and Rear promise an exhilarating driving experience that echoes the spirit of the original AC Cobra, Wrapped into a Modern Superformance Chassis that demands your interest. The history of the AC Cobra is nothing short of legendary. Born from the brilliant collaboration between American automotive designer Carroll Shelby and British automaker AC Cars, the Cobra first roared to life in the early 1960s. Shelby's vision was to create a sports car that combined the lightweight, nimble chassis of the British AC Ace with the potent power of a Ford V8 engine. The result was a car that dominated racetracks and captured the imaginations of car enthusiasts worldwide. The Cobra's racing successes and stunning performance cemented its place in automotive lore, making it a timeless symbol of speed and power. Inside this Superformance Cobra MKIII Roadster, you'll find features that blend classic style with modern sensibility. The black leather interior is complemented by aluminum wheels that enhance both the car's aesthetics and its driving dynamics. Power brakes ensure confident stopping power, while seatbelts provide added safety, allowing you to enjoy the thrill of the drive with peace of mind. This vehicle is a testament to the enduring appeal of the Cobra, offering a driving experience that is as visceral and exciting today as it was in its heyday. Whether you are a collector seeking a piece of automotive history or an enthusiast looking to experience the raw power and craftsmanship of a bygone era, the 1965 Superformance Cobra MKIII Roadster is an exceptional choice. It stands as a tribute to the original AC Cobra, capturing the essence of what made the Cobra a legend on the track and an icon on the road. This 1965 Superformance Cobra MKIII Roadster is listed by our Dallas Showroom and can be viewed in greater detail including 100+ HD pictures and an HD video at www.GatewayClassicCars.com . For additional information, please call our knowledgeable staff at (817)-310-9400 or email us at Dallas@ GatewayClassicCars.com. Our Dallas Showroom is located at 1250 Mustang Drive Suite 500, Grapevine, TX 76051. Hours: Monday through Saturday, 9 AM to 5 PM CST, please reach out to set an appointment. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/DFW/2901/images/watermarked/mobile480/1965-Superformance-Cobra.jpg,https://www.gatewayclassiccars.com/vehicle/dfw/2901/1965-superformance-cobra,
Chevrolet,Impala,1968,0000164878S102539,76000,5243,400 turbo trans  Automatic,496ci  V8,Gray,,car,"Gateway Classic Cars is proud to present this 1968 Chevrolet SS 427 Tribute, a vehicle that seamlessly blends vintage charm with modern functionality. This stunning model boasts a new Silver exterior with vinyl roof that exudes timeless elegance, complemented by a sleek black interior that offers a refined driving experience. Under the hood, the Impala is powered by a formidable 496ci V8 engine, 625 lift cam, MSD ignition, 950 Quick fuel carburetor, Pypes stainless steel exhaust paired with a 400 Turbo automatic transmission with shift kit and a 3200 Stahl convertor, 3.5"" VRN drive shaft delivering a robust performance that is sure to impress enthusiasts and casual drivers alike. stopping power is provided by Wilwood 11.5"" rotors and discs. UMI rear suspension, 4 Strange adjustable shocks, new front suspension by Global West. New Billett wheels wrapped in new tires The new Interior, SS 427 Tribute is equipped with a range of features designed to enhance comfort and convenience, correct Genuine OEM badged interior. Dakota analog looking digital gauges. The air conditioning system ensures a pleasant cabin environment, tilt steering column while the AM/FM radio provides entertainment for every journey. The power steering feature allows for effortless maneuverability, making every drive a pleasure. This 1968 Chevrolet SS 427 Tribute is a remarkable representation of automotive history, offering a blend of classic design and modern amenities that make it a standout choice for those seeking a unique driving experience. First Name Please provide a first name. Last Name Please provide a last name. Email Please provide an email address. Phone Number Postal Code Interest Purchase Consignment Sell Trade Other Stock Number or Description Please provide a subject. Message Please provide a message. Upload Files WARNING: Please do not upload private or confidential documents or files using this form. Drag and drop here to upload Or select files Allowed file types: JPG, PNG, GIF, PDF (max size: 10 MB) I agree to terms and conditions You must agree before submitting. Submit Form",https://dfdmw0t9tyfgx.cloudfront.net/MWK/1674/images/watermarked/mobile480/1968-Chevrolet-Impala.jpg,https://www.gatewayclassiccars.com/vehicle/mwk/1674/1968-chevrolet-impala,
